make,model,year,mileage,city,color,trans,price
Cadillac,Ct6,2018,6000,Jeddah,Blue,Automatic,188000
Lexus,Ls460L,2015,85000,Jeddah,Silver,Automatic,188000
Nissan,Patrol Platinum,2019,25000,Riyadh,Blue,Automatic,188000
Land Rover,Discovery,2018,24951,Riyadh,Silver,Automatic,188000
Lexus,Lx570S,2014,206000,Jeddah,Black,Automatic,187000
Toyota,Land Cruiser,2016,11893,Riyadh,White,Automatic,186000
Gmc,Sierra,2019,13000,Riyadh,Blue,Automatic,186000
Jeep,Wrangler Sahara,2019,8500,Sharqiya,White,Automatic,185000
Toyota,Land Cruiser,2018,56753,Jeddah,White,Automatic,185000
Toyota,Land Cruiser,2015,52060,Jeddah,White,Automatic,185000
Cadillac,Escalade,2015,136926,Riyadh,Brown,Automatic,185000
Lexus,Gs,2016,48038,Jeddah,White,Automatic,185000
Jaguar,F-Pace,2019,15000,Sharqiya,Black,Automatic,185000
Hyundai,Genesis,2018,30248,Jeddah,White,Automatic,185000
Lexus,Lx570S,2014,153000,Jeddah,Silver,Automatic,185000
Infiniti,Qx80 Luxury,2016,5396,Riyadh,Brown,Automatic,185000
Hyundai,Genesis,2018,38000,Jeddah,White,Automatic,185000
Jaguar,F-Pace,2019,12000,Sharqiya,Blue,Automatic,185000
Lexus,Ls460L,2015,106000,Riyadh,Blue,Automatic,185000
Chevrolet,Corvette,2014,44000,Sharqiya,Maroon,Manual,185000
Toyota,Land Cruiser,2018,50000,Jeddah,White,Automatic,185000
Land Rover,Range Rover Hse,2014,100000,Jeddah,Red,Automatic,185000
Nissan,Datsun,2020,150968,Al Riyadh,White,Manual,185000
Nissan,Patrol Super Safari,2019,5000,Jeddah,White,Automatic,185000
Dodge,Charger Srt Hellcat,2016,44000,Dammam,White,Automatic,185000
Chevrolet,Corvette,2014,38600,Riyadh,White,Automatic,185000
Nissan,Patrol,2019,19000,Jeddah,Black,Automatic,185000
Gmc,Savana,2016,40000,Dammam,Silver,Automatic,185000
Lexus,Lx570,2014,205000,Riyadh,Grey,Automatic,185000
Toyota,Land Cruiser,2017,50000,Riyadh,White,Automatic,185000
Cadillac,Escalade Platinum,2016,59000,Jeddah,Grey,Automatic,185000
Lexus,Es350,2019,25000,Riyadh,Beige,Automatic,185000
Lexus,Ls460L,2015,93000,Jeddah,White,Automatic,185000
Cadillac,Escalade,2015,130000,Riyadh,Brown,Automatic,185000
Toyota,Hilux,2020,316390,Al Riyadh,White,Manual,184000
Jaguar,Xe S,2020,5000,Sharqiya,Black,Automatic,183000
Toyota,Land Cruiser Gx,2019,4000,Jeddah,Blue,Automatic,183000
Nissan,Patrol,2017,77000,Jeddah,White,Automatic,183000
Nissan,Patrol,2017,79016,Jeddah,White,Automatic,183000
Gmc,Yukon,2016,37000,Jeddah,White,Automatic,182000
Gmc,Yukon,2016,36457,Jeddah,White,Automatic,182000
Land Rover,Range Rover Sport Supercharged,2014,100000,Jeddah,White,Automatic,182000
Toyota,Land Cruiser Gxr,2016,64000,Jeddah,Gold,Automatic,181000
Lexus,Lx,2015,221885,Riyadh,White,Automatic,180000
Gmc,Savana,2013,22534,Riyadh,White,Automatic,180000
Lexus,Ls460L,2015,157000,Jeddah,Beige,Automatic,180000
Chrysler,300,2018,74000,Riyadh,Silver,Automatic,180000
Volkswagen,Beetle,2002,4000,Riyadh,White,Automatic,180000
Hyundai,Palisade,2020,2000,Sharqiya,Black,Automatic,180000
Lexus,Ls,2016,95166,Dammam,White,Automatic,180000
Toyota,Land Cruiser,2017,70000,Jeddah,White,Automatic,180000
Gmc,Yukon,2015,50505,Riyadh,White,Automatic,180000
Suzuki,Jimny,2020,500,Riyadh,Beige,Automatic,180000
Lexus,Rx350,2017,9000,Jeddah,Grey,Automatic,180000
Lexus,Gs 450H,2018,6000,Riyadh,Grey,Automatic,180000
Gmc,Yukon,2019,12867,Jeddah,Grey,Automatic,180000
Lexus,Ls,2015,50232,Jeddah,Gold,Automatic,180000
Jaguar,F-Pace S,2017,1900,Jeddah,Beige,Automatic,180000
Lexus,Ls460,2015,50000,Jeddah,Golden,Automatic,180000
Toyota,Land Cruiser,2016,17720,Dammam,White,Automatic,180000
Toyota,Land Cruiser,2016,26000,Riyadh,White,Automatic,180000
Gmc,Yukon Denali,2015,26390,Riyadh,Silver,Automatic,180000
Lexus,Gs 450H,2016,50000,Sharqiya,Grey,Automatic,180000
Toyota,Land Cruiser,2016,21898,Riyadh,White,Automatic,180000
Toyota,Cressida,2020,310957,Al Madinah,White,Manual,180000
Gmc,Yukon,2019,15000,Jeddah,Gray,Automatic,180000
