make,model,year,mileage,city,color,trans,price
Chevrolet,Tahoe,2016,146007,Riyadh,Black,Automatic,108000
Mazda,6,2020,10000,Jeddah,Red,Automatic,108000
Toyota,Camry Gle,2019,6000,Jeddah,Silver,Automatic,108000
Chevrolet,Tahoe,2016,94003,Riyadh,Black,Automatic,108000
Toyota,Coaster,2016,323000,Sharqiya,Silver,Manual,108000
Jeep,Grand Cherokee Overland,2015,85000,Riyadh,Red,Automatic,108000
Mazda,Cx9,2020,9068,Jeddah,White,Automatic,108000
Cadillac,Escalade,2010,109996,Riyadh,Black,Automatic,108000
Mazda,Cx5,2020,8000,Jeddah,White,Automatic,108000
Toyota,Heise,2018,47000,Jeddah,White,Manual,108000
Ford,Expedition,2017,154000,Jeddah,Red,Automatic,108000
Mazda,Cx9,2020,7000,Jeddah,White,Automatic,108000
Toyota,Prado,2015,62266,Dammam,White,Automatic,108000
Volkswagen,Tiguan,2018,6000,Sharqiya,White,Automatic,108000
Ford,Taurus,2019,41000,Jeddah,Gray,Automatic,107900
Chevrolet,Malibo,2019,262,Dammam,White,Automatic,107500
Ford,Mustang,2018,78710,Jeddah,Orange,Automatic,107500
Chevrolet,Malibo,2019,200,Dammam,White,Automatic,107500
Chevrolet,Suburban,2014,90000,Riyadh,Black,Automatic,107000
Ford,Crown Victoria,2019,39636,Ahad Rafidah,Black,Manual,107000
Gmc,Yukon,2011,58000,Dammam,Golden,Automatic,107000
Jeep,Grand Cherokee,2019,39896,Jeddah,Brown,Automatic,107000
Chevrolet,Tahoe,2015,70999,Riyadh,Brown,Automatic,107000
Jeep,Grand Cherokee,2019,35000,Jeddah,Maroon,Automatic,107000
Ford,Taurus,2018,9900,Jeddah,Silver,Automatic,107000
Jeep,Compass,2019,1000,Riyadh,White,Automatic,107000
Chevrolet,Tahoe,2015,37000,Riyadh,Silver,Automatic,107000
Chevrolet,Tahoe,2015,76000,Riyadh,Brown,Automatic,107000
Lexus,Nx200,2016,84000,Jeddah,Golden,Automatic,107000
Mazda,Cx7,2019,18725,Jeddah,Grey,Automatic,107000
Jeep,Grand Cherokee,2018,32000,Jeddah,Black,Automatic,107000
Chevrolet,Tahoe,2015,32809,Riyadh,Silver,Automatic,107000
Ford,Taurus,2018,3900,Jeddah,Silver,Automatic,107000
Lexus,Gs350,2015,76000,Jeddah,Silver,Automatic,106900
Gmc,Yukon,2015,137000,Jeddah,Black,Automatic,106000
Gmc,Yukon,2015,130648,Jeddah,Black,Automatic,106000
Ford,Mustang,2018,58420,Jeddah,Silver,Automatic,106000
Jeep,Wrangler Rubicon,2016,15000,Riyadh,Beige,Manual,106000
Dodge,Durango,2015,737,Jeddah,White,Automatic,106000
Ford,Taurus,2019,23000,Jeddah,Silver,Automatic,105900
Gmc,Yukon,2015,122390,Jeddah,Silver,Automatic,105000
Land Rover,Evoque,2015,155260,Riyadh,White,Automatic,105000
Lexus,Ls,2011,273873,Riyadh,Red,Automatic,105000
Hyundai,Genesis,2016,80841,Jeddah,Grey,Automatic,105000
Hyundai,Centennial,2015,98219,Riyadh,Black,Automatic,105000
Lexus,Es250,2016,163000,Jeddah,Brown,Automatic,105000
Nissan,Patrol Safari,2015,15000,Jeddah,White,Manual,105000
Ford,Expedition,2016,66000,Riyadh,Black,Automatic,105000
Lexus,Rx350,2015,180000,Jeddah,White,Automatic,105000
Nissan,Patrol,2015,126000,Riyadh,Black,Automatic,105000
Lexus,Es350,2012,135000,Riyadh,White,Automatic,105000
Chevrolet,Suburban,2016,105387,Riyadh,Brown,Automatic,105000
Toyota,Sequoia,2013,131004,Riyadh,White,Automatic,105000
Chrysler,300,2017,845,Riyadh,Gray,Automatic,105000
Chrysler,300,2016,29000,Dammam,Blue,Automatic,105000
Nissan,Patrol,2015,125455,Riyadh,Black,Automatic,105000
Toyota,Hilux,2018,56926,Jeddah,White,Automatic,105000
Ford,Expedition,2016,63000,Jeddah,White,Automatic,105000
Chevrolet,Suburban,2015,133000,Jeddah,White,Automatic,105000
Infiniti,Qx70,2016,25000,Jeddah,Brown,Automatic,105000
Lexus,Es350,2015,137000,Dammam,White,Automatic,105000
Mitsubishi,Pajero,2019,37165,Al Riyadh,Green,Automatic,105000
Gmc,Yukon Sle,2015,104000,Dammam,Red,Automatic,105000
Toyota,Camry,2019,303701,Al Riyadh,White,Automatic,105000
Toyota,Fj Cruiser 1,2017,22922,Riyadh,White,Automatic,105000
Kia,Carnival,2019,12000,Riyadh,Black,Automatic,105000
Nissan,Maxima,2017,15000,Jeddah,White,Automatic,105000
Toyota,Sequoia,2013,137000,Riyadh,White,Automatic,105000
Gmc,Yukon,2015,129000,Jeddah,Silver,Automatic,105000
Toyota,Rav 4,2019,500,Riyadh,Blue,Automatic,105000
Ford,Expedition,2016,68774,Jeddah,White,Automatic,105000
Toyota,Fortuner,2019,13000,Jeddah,White,Automatic,105000
Lexus,Rx350,2015,109000,Jeddah,Gray,Automatic,105000
Lexus,Gs,2011,141827,Riyadh,White,Automatic,105000
Toyota,Land Cruiser 70,2018,4967,Jeddah,Beige,Manual,105000
Lexus,Rx,2015,180409,Jeddah,White,Automatic,105000
Lexus,Ls460,2011,222000,Riyadh,Red,Automatic,105000
Toyota,Land Cruiser,2012,190499,Dammam,White,Automatic,105000
Toyota,Camry,2019,54021,Jeddah,Brown,Automatic,105000
Hyundai,Genesis,2016,88000,Jeddah,Gray,Automatic,105000
Toyota,Prado Tx-L,2015,30000,Jeddah,Grey,Automatic,105000
Cadillac,Ats,2016,35000,Jeddah,Golden,Automatic,105000
Toyota,Land Cruiser 70,2016,9158,Dammam,Beige,Manual,105000
Gmc,Yukon Xl,2016,158147,Riyadh,Grey,Automatic,105000
Chevrolet,Silverado Lt,2018,57226,Riyadh,Blue,Automatic,105000
Dodge,Charger R/T,2016,48000,Riyadh,Gold,Automatic,105000
Toyota,Hilux,2018,51000,Jeddah,White,Automatic,105000
Toyota,Fortuner,2019,18000,Jeddah,White,Automatic,105000
Hyundai,Centennial,2015,93000,Riyadh,Black,Automatic,105000
Toyota,Fortuner Gx,2018,18000,Riyadh,Grey,Automatic,105000
Land Rover,Evoque,2015,154000,Riyadh,White,Automatic,105000
Chevrolet,Tahoe Ls,2015,160000,Jeddah,Black,Automatic,105000
Gmc,Suburban,2019,31464,Abha,Gold,Automatic,105000
Jeep,Wrangler,2017,2901,Dammam,Red,Manual,105000
Chevrolet,Tahoe Ls,2015,86000,Sharqiya,Gold,Automatic,105000
Chevrolet,Tahoe,2015,153000,Jeddah,Black,Automatic,105000
Chrysler,300,2016,54808,Jeddah,Silver,Automatic,105000
Ford,Taurus,2019,33177,Jeddah,Silver,Automatic,105000
Mini,Cooper S,2017,32000,Dammam,Silver,Automatic,105000
Lexus,Es250,2016,140000,Riyadh,Gold,Automatic,105000
Ford,Taurus,2019,1000,Jeddah,Gray,Automatic,105000
Hyundai,Centennial,2016,50000,Jeddah,White,Automatic,105000
Ford,Taurus,2019,2052,Jeddah,Grey,Automatic,105000
Jeep,Grand Cherokee,2014,48731,Jeddah,Blue,Automatic,105000
Toyota,Fortuner,2017,94832,Dammam,White,Automatic,105000
Toyota,Prado,2016,120697,Jeddah,White,Automatic,105000
Toyota,Fortuner,2020,7000,Jeddah,White,Automatic,105000
Ford,Mustang,2019,323585,Al Khobar,Silver,Manual,105000
Lexus,Ls430,2004,86000,Jeddah,Black,Automatic,105000
Cadillac,Escalade Esv,2013,40000,Jeddah,White,Automatic,105000
Ford,Expedition,2016,63836,Riyadh,Black,Automatic,105000
Toyota,Land Cruiser,2013,131070,Dammam,White,Automatic,105000
Ford,Expedition,2016,6065,Jeddah,White,Automatic,105000
Chrysler,300,2017,7595,Riyadh,Gray,Automatic,105000
Ford,Expedition,2016,6000,Jeddah,White,Automatic,105000
Ford,Taurus,2019,11979,Jeddah,White,Automatic,104500
Gmc,Sierra 1500,2016,44304,Dammam,Brown,Automatic,104000
Jeep,Grand Cherokee,2017,10200,Jeddah,White,Automatic,104000
Toyota,Hilux,2018,14352,Riyadh,White,Automatic,104000
Toyota,Camry,2018,89933,Riyadh,Black,Automatic,104000
Toyota,Camry,2018,80000,Riyadh,Black,Automatic,104000
Toyota,Fortuner,2020,478,Riyadh,White,Automatic,103790
Chevrolet,Travers,2019,20000,Jeddah,Gray,Automatic,103000
Toyota,Camry,2019,17258,Jeddah,Red,Automatic,103000
Toyota,Land Cruiser,2010,140000,Jeddah,White,Automatic,103000
Toyota,Camry,2019,10000,Jeddah,White,Automatic,103000
Lexus,Es,2014,91229,Jeddah,Grey,Automatic,103000
Lexus,Gs,2015,194971,Jeddah,White,Automatic,103000
Ford,Mustang,2019,83736,Jeddah,White,Automatic,103000
Toyota,Prado,2009,100000,Riyadh,Black,Automatic,103000
Ford,Mustang,2019,77841,Jeddah,Grey,Automatic,103000
Ford,Mustang,2019,83646,Riyadh,White,Automatic,103000
Kia,Cadenza,2019,23000,Jeddah,White,Automatic,103000
Ford,Mustang,2019,72941,Jeddah,Silver,Automatic,103000
Lexus,Es,2016,79182,Al Qassim,Silver,Automatic,103000
Ford,Mustang,2019,161863,Al Qassim,White,Automatic,103000
Ford,Mustang,2019,71437,Al Qassim,Red,Automatic,103000
Toyota,Land Cruiser,2010,148923,Jeddah,White,Automatic,103000
Toyota,Camry,2019,18992,Jeddah,White,Automatic,103000
Ford,Mustang,2019,74656,Jeddah,White,Automatic,103000
Kia,Cadenza,2019,20496,Jeddah,White,Automatic,103000
Toyota,Camry,2019,12000,Jeddah,Red,Automatic,103000
Land Rover,Range Rover,2016,89000,Riyadh,White,Automatic,102500
Land Rover,Evoque,2016,86061,Riyadh,White,Automatic,102500
Ford,Taurus,2019,56769,Jeddah,Grey,Automatic,102000
Honda,Accord,2018,25000,Jeddah,Silver,Automatic,102000
Nissan,Patrol,2014,113002,Dammam,Grey,Automatic,102000
Gmc,Acadia,2017,38000,Jeddah,Golden,Automatic,102000
Honda,Accord,2018,32000,Jeddah,Yellow,Automatic,102000
Honda,Accord,2017,14000,Riyadh,White,Automatic,102000
Honda,Accord,2017,19709,Riyadh,White,Automatic,102000
Chevrolet,Tahoe,2015,137667,Riyadh,Brown,Automatic,102000
Toyota,Camry Se,2019,36000,Riyadh,Grey,Automatic,102000
Ford,Taurus,2019,50249,Jeddah,Silver,Automatic,102000
Toyota,Prado Tx-L,2016,91000,Jeddah,Grey,Automatic,102000
Gmc,Acadia,2017,36211,Jeddah,Gold,Automatic,102000
Toyota,Rav 4,2019,11000,Jeddah,Grey,Automatic,102000
Chevrolet,Tahoe,2015,138000,Riyadh,Brown,Automatic,102000
Ford,Expedition King Ranch,2015,143000,Sharqiya,White,Automatic,101000
Ford,Expedition King Ranch,2016,160000,Sharqiya,Blue,Automatic,101000
Toyota,Prado,2015,114275,Dammam,White,Automatic,101000
Volkswagen,Arteon,2018,20000,Sharqiya,White,Automatic,100910
Jeep,Grand Cherokee,2018,2037,Jeddah,Dark Blue,Automatic,100880
Toyota,Hilux,2016,26822,Jeddah,White,Automatic,100688
Toyota,Hilux,2016,23821,Jeddah,White,Automatic,100688
Hyundai,Azera,2018,21500,Riyadh,Dark Blue,Automatic,100150
Toyota,Sequoia,2015,78098,Hofuf,Silver,Automatic,100000
Gmc,Yukon Denali Xl,2011,48000,Jeddah,Blue,Automatic,100000
Volkswagen,Golf R,2016,63000,Riyadh,White,Automatic,100000
Honda,Accord,2018,39962,Jeddah,Grey,Automatic,100000
Toyota,Prado,2016,136976,Jeddah,White,Automatic,100000
Toyota,Land Cruiser Vxr,2007,163000,Riyadh,White,Automatic,100000
Chevrolet,Tahoe,2015,166000,Jeddah,Silver,Automatic,100000
Ford,Crown Victoria,2019,268647,Al Riyadh,Black,Automatic,100000
Cadillac,Escalade,2013,95000,Dammam,Red,Automatic,100000
Ford,Mustang,2018,57000,Jeddah,Silver,Automatic,100000
Jaguar,Xj,2015,10127,Riyadh,Silver,Automatic,100000
Chevrolet,Impala,2016,47000,Riyadh,Black,Automatic,100000
Chevrolet,Tahoe,2015,195000,Jeddah,White,Automatic,100000
Ford,Mustang,2018,53182,Jeddah,Blue,Automatic,100000
Toyota,Prado,2016,130000,Jeddah,White,Automatic,100000
Mini,Cooper,2014,18815,Riyadh,Brown,Automatic,100000
Ford,Mustang,2018,52000,Jeddah,Silver,Automatic,100000
Lexus,Ls,2011,169954,Jeddah,White,Automatic,100000
Toyota,Prado,2015,36937,Riyadh,White,Automatic,100000
Chevrolet,Tahoe,2016,139105,Riyadh,Silver,Automatic,100000
Toyota,Camry,2019,30000,Jeddah,White,Automatic,100000
Fiat,Abarth,2019,20000,Riyadh,Grey,Automatic,100000
Chevrolet,Tahoe,2015,60317,Dammam,Silver,Automatic,100000
Volkswagen,Touareg,2015,42700,Sharqiya,Black,Automatic,100000
Toyota,Camry,2019,291918,Dammam,White,Manual,100000
Cadillac,Escalade,2013,93151,Dammam,Red,Automatic,100000
Lexus,Ls600HL,2010,115000,Riyadh,Grey,Automatic,100000
Chevrolet,Impala,2016,47580,Riyadh,Black,Automatic,100000
Chevrolet,Tahoe,2015,132433,Riyadh,Silver,Automatic,100000
Honda,Accord,2018,38000,Jeddah,Gray,Automatic,100000
Toyota,Prado,2015,31000,Riyadh,White,Automatic,100000
Chevrolet,Tahoe,2015,150000,Jeddah,Golden,Automatic,100000
Toyota,Land Cruiser,2012,160000,Jeddah,White,Automatic,100000
Dodge,Durango,2017,402,Jeddah,White,Automatic,99830
Toyota,Prado,2015,132411,Jeddah,White,Automatic,99000
Ford,Expedition Limited,2015,128000,Riyadh,Black,Automatic,99000
Lexus,Es,2016,92975,Al Qassim,White,Automatic,99000
Ford,Taurus,2019,56045,Al Qassim,Silver,Automatic,99000
Ford,Explorer Limited,2016,97000,Jeddah,Grey,Automatic,99000
Toyota,Land Cruiser,2018,109000,Jeddah,Beige,Automatic,99000
Toyota,Land Cruiser,2010,356750,Dammam,White,Automatic,99000
Jaguar,Xj,2014,39000,Riyadh,White,Automatic,99000
Hyundai,Sonata,2020,3000,Jeddah,Grey,Automatic,99000
Ford,Explorer,2016,118601,Jeddah,White,Automatic,99000
Hyundai,Genesis,2016,157024,Riyadh,White,Automatic,99000
Chevrolet,Camaro Rs,2017,81000,Dammam,Blue,Automatic,99000
Hyundai,Azera,2018,47000,Jeddah,Beige,Automatic,99000
Chevrolet,Tahoe,2015,113833,Riyadh,White,Automatic,99000
Gmc,Yukon Sle,2015,89000,Dammam,Brown,Automatic,99000
Lexus,Is350,2015,109000,Jeddah,White,Automatic,99000
Chevrolet,Camaro,2013,53623,Riyadh,Black,Automatic,99000
Chevrolet,Tahoe,2010,130000,Dammam,Silver,Automatic,98500
Ford,Taurus,2019,16999,Jeddah,White,Automatic,98500
Lexus,Rx,2015,142720,Jeddah,Silver,Automatic,98500
Ford,Taurus,2019,38384,Riyadh,White,Automatic,98500
Lexus,Rx350,2015,140000,Jeddah,Silver,Automatic,98500
Chevrolet,Tahoe,2010,130474,Riyadh,Silver,Automatic,98500
Lincoln,Navigator,2015,138000,Jeddah,Brown,Automatic,98000
Chevrolet,Suburban,2016,168422,Jeddah,Black,Automatic,98000
Lexus,Es350,2016,128000,Jeddah,Black,Automatic,98000
Hyundai,Sonata,2020,4000,Jeddah,Beige,Automatic,98000
Honda,Accord,2019,3000,Sharqiya,Red,Automatic,98000
Ford,Taurus,2018,65945,Jeddah,Black,Automatic,98000
Ford,Explorer Xlt,2016,110000,Dammam,Blue,Automatic,98000
Chevrolet,Tahoe,2015,165000,Jeddah,Brown,Automatic,98000
Chrysler,300,2018,6000,Jeddah,Black,Automatic,98000
Lexus,Rx350,2014,95000,Jeddah,White,Automatic,98000
Kia,Carnival,2020,1400,Jeddah,White,Automatic,98000
Kia,Quoris,2016,70000,Jeddah,Silver,Automatic,98000
Infiniti,Q70,2016,39000,Riyadh,Grey,Automatic,98000
Jeep,Grand Cherokee Limited,2015,53000,Riyadh,Silver,Automatic,98000
Lexus,Rx350,2013,74000,Jeddah,Grey,Automatic,98000
Toyota,Fj Cruiser,2016,42936,Riyadh,White,Automatic,98000
Lexus,Gs 350 F,2015,100000,Sharqiya,Black,Automatic,98000
Ford,Taurus,2018,69000,Jeddah,Black,Automatic,98000
Chevrolet,Suburban,2016,160000,Jeddah,Black,Automatic,98000
Hyundai,Sonata,2020,4000,Jeddah,White,Automatic,98000
Hyundai,Sonata,2020,7242,Jeddah,White,Automatic,98000
Toyota,Sequoia,2015,125470,Riyadh,Black,Automatic,98000
Ford,Expedition Limited,2015,149000,Sharqiya,Grey,Automatic,98000
Toyota,Sequoia,2015,125000,Riyadh,Black,Automatic,98000
Toyota,Fortuner,2017,106000,Jeddah,Black,Automatic,98000
Chrysler,300,2016,33000,Dammam,Dark Blue,Automatic,97919
Ford,Taurus,2018,39000,Jeddah,White,Automatic,97900
Lexus,Gs,2015,192165,Riyadh,White,Automatic,97500
Ford,Mustang,2018,78598,Jeddah,Black,Automatic,97500
Lexus,Gs,2015,194310,Jeddah,White,Automatic,97500
Ford,Explorer,2017,151480,Al Qassim,White,Automatic,97500
Mazda,Cx5,2018,55000,Riyadh,Silver,Automatic,97000
Toyota,Prado,2015,96288,Jeddah,White,Automatic,97000
Toyota,Fortuner Vx,2016,23000,Jeddah,Black,Automatic,97000
Mazda,6,2019,13000,Jeddah,Red,Automatic,97000
Dodge,Charger Sxt,2018,39000,Jeddah,Blue,Automatic,97000
Ford,Edge Sport,2016,47000,Riyadh,White,Automatic,97000
Ford,Expedition Limited,2015,131000,Riyadh,Blue,Automatic,97000
Toyota,Prado,2015,92000,Jeddah,White,Automatic,97000
Dodge,Durango,2015,66036,Riyadh,Brown,Automatic,97000
Lexus,Es250,2017,65000,Riyadh,White,Automatic,97000
Lexus,Es,2017,61856,Riyadh,White,Automatic,97000
Toyota,Fj Cruiser,2015,98000,Riyadh,White,Automatic,97000
Honda,Accord,2017,7000,Jeddah,Silver,Automatic,97000
Ford,Expedition,2016,93981,Riyadh,Blue,Automatic,97000
Toyota,Land Cruiser,2013,163603,Hail,White,Automatic,97000
Dodge,Charger,2017,39000,Jeddah,White,Automatic,97000
Ford,Explorer Xlt,2017,102000,Sharqiya,Grey,Automatic,97000
Toyota,Fortuner,2017,91657,Dammam,White,Automatic,97000
Mazda,Cx5,2019,39000,Jeddah,Beige,Automatic,97000
Toyota,Camry Gle,2019,3000,Jeddah,Gold,Automatic,97000
Mazda,6,2019,13000,Riyadh,White,Automatic,97000
Lexus,Es,2016,94816,Al Qassim,White,Automatic,97000
Lexus,Es250,2017,65000,Riyadh,Beige,Automatic,97000
Toyota,Fj Cruiser,2015,98442,Riyadh,White,Automatic,97000
Ford,Expedition,2016,96000,Riyadh,Blue,Automatic,97000
Dodge,Charger,2016,34949,Riyadh,Silver,Automatic,96999
Ford,Mustang,2018,45000,Jeddah,Gray,Automatic,96900
Ford,Mustang,2018,92427,Jeddah,Grey,Automatic,96500
Ford,Mustang,2018,64517,Al Qassim,Silver,Automatic,96500
Ford,Mustang,2018,86349,Jeddah,Grey,Automatic,96500
Ford,Mustang,2018,76690,Riyadh,Black,Automatic,96500
Ford,Mustang,2018,77568,Jeddah,Silver,Automatic,96500
Ford,Mustang,2018,98307,Jeddah,Silver,Automatic,96500
Mitsubishi,Eclipse Cross,2016,69180,Sharqiya,Blue,Manual,96500
Ford,Mustang,2018,78774,Jeddah,Grey,Automatic,96500
Ford,Mustang,2018,59529,Jeddah,Grey,Automatic,96500
Ford,Mustang,2018,80869,Jeddah,Silver,Automatic,96500
Ford,Mustang,2018,60870,Al Qassim,Grey,Automatic,96500
Volkswagen,Passat,2020,2700,Sharqiya,White,Automatic,96410
Toyota,Rav4,2020,7752,Riyadh,White,Automatic,96030
Chevrolet,Suburban,2014,83031,Jeddah,White,Automatic,96000
Gmc,Sierra Z71,2015,112000,Riyadh,White,Automatic,96000
Lexus,Rx,2014,86119,Jeddah,White,Automatic,96000
Mitsubishi,Rosa,2016,69000,Sharqiya,Grey,Manual,96000
Toyota,Fj Cruiser,2016,53000,Riyadh,White,Automatic,96000
Chevrolet,Tahoe,2012,101706,Dammam,Silver,Automatic,96000
Toyota,Hilux,2017,78209,Jeddah,White,Manual,96000
Hyundai,Sonata,2020,20000,Jeddah,Silver,Automatic,96000
Cadillac,Escalade,2011,106503,Jeddah,White,Automatic,96000
Lexus,Es350,2015,115000,Jeddah,Red,Automatic,96000
Toyota,Fj Cruiser,2016,52850,Riyadh,White,Automatic,96000
Lexus,Rx,2015,119237,Jeddah,Brown,Automatic,95900
Dodge,Durango,2017,5457,Jeddah,Silver,Automatic,95629
Ford,Taurus,2019,52270,Jeddah,Brown,Automatic,95500
Ford,Taurus,2019,58749,Jeddah,Grey,Automatic,95500
Hyundai,Sonata,2020,26185,Makkah,Grey,Automatic,95000
Toyota,Fj Cruiser,2010,134000,Riyadh,Black,Automatic,95000
Ford,Mustang,2010,50415,Riyadh,Blue,Manual,95000
Toyota,Prado,2015,56714,Jeddah,Silver,Automatic,95000
Ford,Expedition,2016,68361,Riyadh,Black,Automatic,95000
Toyota,Sequoia,2015,177745,Riyadh,Grey,Automatic,95000
Lexus,Ls,2012,336298,Jeddah,Silver,Automatic,95000
Toyota,Hilux,2018,87000,Jeddah,White,Manual,95000
Toyota,Prado,2015,50000,Jeddah,Silver,Automatic,95000
Toyota,Camry,2019,81730,Al Madinah,Green,Manual,95000
Gmc,Acadia,2018,38481,Jeddah,White,Automatic,95000
Hyundai,Genesis,2016,149000,Jeddah,Silver,Automatic,95000
Nissan,Z 370,2014,8000,Riyadh,Silver,Automatic,95000
Toyota,Camry,2018,18324,Riyadh,White,Automatic,95000
Toyota,Corolla,2019,160604,Jeddah,White,Manual,95000
Toyota,Hilux,2018,88456,Jeddah,White,Manual,95000
Toyota,Land Cruiser,2015,100035,Dammam,White,Automatic,95000
Ford,Expedition,2014,3326,Dammam,Black,Automatic,95000
Toyota,Hilux,2017,59313,Jeddah,White,Manual,95000
Chevrolet,Tahoe,2015,159216,Dammam,Gold,Automatic,95000
Dodge,Challenger,2014,72669,Riyadh,Black,Automatic,95000
Dodge,Charger,2015,66378,Riyadh,Red,Automatic,95000
Hyundai,Genesis,2016,149778,Jeddah,White,Automatic,95000
Lexus,Es350,2015,137000,Riyadh,Black,Automatic,95000
Chevrolet,Impala Ltz,2017,57000,Jeddah,Grey,Automatic,95000
Chevrolet,Traverse,2019,16929,Riyadh,Grey,Automatic,95000
Dodge,Charger,2017,1332,Jeddah,Grey,Automatic,95000
Jaguar,Xk,2011,24000,Riyadh,White,Automatic,95000
Toyota,Fj Cruiser 2,2015,105000,Jeddah,Grey,Automatic,95000
Lexus,Ls460,2010,194000,Riyadh,Golden,Automatic,95000
Dodge,Ram 1500 Hemi,2015,95000,Sharqiya,Black,Automatic,95000
Land Rover,Evoque,2014,84550,Dammam,White,Automatic,95000
Toyota,Prado,2015,137152,Dammam,Silver,Automatic,95000
Ford,Expedition,2015,150000,Jeddah,White,Automatic,95000
Lexus,Rx350,2013,170000,Jeddah,White,Automatic,95000
Ford,Expedition,2015,157233,Jeddah,White,Automatic,95000
Land Rover,Lr 4,2014,70000,Jeddah,Black,Automatic,95000
Gmc,Yukon,2014,89782,Dammam,White,Automatic,95000
Honda,Accord,2018,48212,Riyadh,White,Automatic,95000
Toyota,Camry,2019,18000,Jeddah,Golden,Automatic,95000
Lexus,Ls460,2012,236000,Jeddah,Silver,Automatic,95000
Ford,Expedition Xlt,2014,23000,Sharqiya,Brown,Automatic,95000
Nissan,Patrol Se,2016,134000,Sharqiya,White,Automatic,95000
Lexus,Lx470,2004,114000,Riyadh,Black,Automatic,95000
Dodge,Charger,2017,176,Jeddah,Silver,Automatic,95000
Lexus,Es,2014,99244,Jeddah,White,Automatic,95000
Jeep,Grand Cherokee,2015,38136,Jeddah,Gold,Automatic,95000
Infiniti,Q30,2017,65579,Jeddah,Brown,Automatic,95000
Lexus,Es,2013,51974,Jeddah,Silver,Automatic,95000
Mazda,Cx9,2015,10000,Riyadh,Blue,Automatic,95000
Chevrolet,Travers,2019,16000,Riyadh,Dark Gray,Automatic,95000
Chevrolet,Silverado,2015,49707,Dammam,Red,Automatic,95000
Dodge,Challenger R/T,2015,77000,Riyadh,Grey,Automatic,95000
Cadillac,Ats,2016,98000,Jeddah,Grey,Automatic,95000
Ford,Mustang,2016,63156,Jeddah,Red,Automatic,95000
Dodge,Ram 1500 Hemi,2017,20000,Jeddah,White,Automatic,95000
Lexus,Es,2019,151560,Jeddah,Silver,Automatic,95000
Ford,Expedition,2016,66000,Riyadh,Black,Automatic,95000
Mitsubishi,Pajero,2018,1000,Jeddah,Red,Automatic,95000
Nissan,Patrol Platinum,2014,226000,Dammam,Black,Automatic,95000
Mazda,Cx9,2015,13136,Riyadh,Blue,Automatic,95000
Lexus,Is350,2015,52000,Riyadh,Blue,Automatic,95000
Dodge,Challenger,2014,79000,Riyadh,Black,Automatic,95000
Infiniti,Qx70,2016,55000,Jeddah,White,Automatic,95000
Toyota,Camry,2018,16000,Riyadh,Snow White,Automatic,95000
Toyota,Land Cruiser,2011,282624,Riyadh,White,Automatic,95000
Nissan,Patrol,2014,185853,Dammam,Silver,Automatic,95000
Nissan,370Z,2014,5066,Riyadh,Black,Automatic,95000
Toyota,Camry,2019,33000,Jeddah,White,Automatic,95000
Volkswagen,Tiguan,2017,39010,Jeddah,Black,Automatic,95000
Ford,Expedition,2016,13635,Dammam,Green,Automatic,95000
Nissan,Pathfinder,2017,75745,Jeddah,White,Automatic,95000
Chevrolet,Suburban,2015,219000,Jeddah,Silver,Automatic,95000
Gmc,Yukon,2019,120835,Al Riyadh,Silver,Automatic,95000
Mini,Cooper,2015,24000,Riyadh,White,Automatic,95000
Hyundai,Centennial,2015,145000,Riyadh,Grey,Automatic,95000
Toyota,Sequoia,2015,174000,Riyadh,Dark Gray,Automatic,95000
Gmc,Yukon,2019,71710,Sakakah,Black,Automatic,95000
Dodge,Charger,2018,30000,Dammam,White,Automatic,95000
Toyota,Hilux,2017,53000,Jeddah,White,Manual,95000
Toyota,Land Cruiser,2011,175860,Dammam,White,Automatic,95000
Toyota,Camry,2019,32677,Jeddah,White,Automatic,95000
Honda,Civic,2019,23811,Jeddah,Beige,Manual,95000
Hyundai,Genesis,2014,139000,Riyadh,Grey,Automatic,95000
Jeep,Wrangler Sport,2018,18000,Sharqiya,White,Automatic,95000
Honda,Accord,2018,44000,Riyadh,White,Automatic,95000
Lexus,Ls,2010,197005,Riyadh,Gold,Automatic,95000
Jeep,Grand Cherokee,2015,30000,Jeddah,Golden,Automatic,95000
Gmc,Sierra Sle,2014,113000,Riyadh,White,Automatic,95000
Lexus,Rx350,2013,70000,Jeddah,Gold,Automatic,95000
Toyota,Supra,2019,28234,Dammam,Black,Manual,95000
Ford,Expedition Xlt,2015,149000,Riyadh,White,Automatic,95000
Mazda,6,2018,32621,Riyadh,Blue,Automatic,95000
Toyota,Camry,2019,97000,Jeddah,White,Automatic,95000
Mercury,Grand Marquis,2019,163640,Al Bahah,Gold,Automatic,95000
Gmc,Yukon Denali,2014,128000,Riyadh,Black,Automatic,95000
Mazda,6,2018,38000,Riyadh,Dark Blue,Automatic,95000
Lexus,Ls,2009,101312,Riyadh,White,Automatic,95000
Toyota,Camry,2019,51378,Al Riyadh,White,Manual,95000
Nissan,370Z,2014,8000,Riyadh,Black,Automatic,95000
Volkswagen,Beetle,2015,800,Jeddah,White,Automatic,95000
Hyundai,Genesis,2016,154000,Jeddah,Dark Blue,Automatic,95000
Land Rover,Range Rover Sport,2012,110000,Jeddah,Black,Automatic,95000
Cadillac,Cts,2015,65000,Sharqiya,Blue,Automatic,95000
Jeep,Grand Cherokee Srt,2015,85000,Riyadh,Silver,Automatic,95000
